id,section,domain,skill,difficulty,accuracy
e841acd2-eaf0-4bdd-aa5c-71043911c78d,Reading & Writing,Craft and Structure,Cross-Text Connections,3,0
433feab2-72d6-49dc-880f-84b0c0387318,Reading & Writing,Craft and Structure,Cross-text Connections,3,1
9e9bd4ef-f8c9-469c-9e42-aee9f7dbfd93,Reading & Writing,Information and Ideas,Inferences,1,1
fb872ced-cc06-4968-a37f-3c830d7592ef,Reading & Writing,Information and Ideas,Central Ideas and Details,1,1
f41e7a66-3524-4678-8c00-c920afeda6d0,Reading & Writing,Information and Ideas,Central Ideas and Details,3,1
ee6a5d4d-6c43-47c5-96bd-629d6b5f18c2,Reading & Writing,Information and Ideas,Command of Evidence,3,0
503716c1-81db-4df2-9c5a-ac3ec15a14cc,Reading & Writing,Information and Ideas,Inferences,3,1
9017e879-2acf-4c1b-857b-ccdccdfd2f29,Reading & Writing,Information and Ideas,Central Ideas and Details,3,0
77a5cb1c-e258-4298-a422-39e72f36cf2a,Reading & Writing,Information and Ideas,Command of Evidence,3,0
219f2178-16f8-4d18-81d2-03915e126221,Reading & Writing,Expression of Ideas,Transitions,2,1
06affb0d-2471-47de-83b4-660d0ef79e8e,Reading & Writing,Expression of Ideas,Rhetorical Synthesis,3,1
98a2b5dc-e4ed-45c4-ac5b-9338664fed19,Reading & Writing,Expression of Ideas,Transitions,3,0
743363a7-47a6-4050-9867-8ab3f48c60f2,Reading & Writing,Expression of Ideas,Rhetorical Synthesis,3,1
0d20ee04-5809-4135-af66-3b4aaae79824,Reading & Writing,Expression of Ideas,Transitions,3,0
2571cb45-c347-4888-85bd-7b5fe3a4c61d,Reading & Writing,Craft and Structure,Cross-Text Connections,1,1
28f0debd-7227-4f97-a465-bc7e88859f0c,Reading & Writing,Craft and Structure,Words in Context,1,1
6001795f-c186-4de5-b9cc-330d6d3a2ee4,Reading & Writing,Craft and Structure,Cross-Text Connections,3,0
02063032-370b-410d-96df-d4cab4cb231b,Reading & Writing,Craft and Structure,Text Structure and Purpose,3,1
f33ffb1c-68ca-4deb-8868-f44d212d19ef,Reading & Writing,Craft and Structure,Words in Context,3,0
8035dbfa-b3fb-4c44-8907-277332407d96,Reading & Writing,Craft and Structure,Cross-Text Connections,3,0
3cd2b9b2-3881-44c2-9327-ad7e42ca47c5,Reading & Writing,Craft and Structure,Text Structure and Purpose,3,1
69523bdf-0793-46e2-afa1-af38f5f8f82c,Reading & Writing,Standard English Conventions,Boundaries,1,1
24e4b45a-ac6c-4921-b25c-a5d22d033120,Reading & Writing,Standard English Conventions,"Form, Structure, and Sense",1,0
281909cf-8c53-4a14-987d-fd22c103b648,Reading & Writing,Standard English Conventions,Boundaries,1,1
c21e6c87-143b-45c5-9f56-7af4efbcd2d2,Reading & Writing,Standard English Conventions,"Form, Structure, and Sense",2,0
7cdcfaa6-bf0d-4458-bc20-5348b67839ab,Reading & Writing,Standard English Conventions,Boundaries,1,1
1a51ca57-4e91-4421-9de4-8759560f0497,Reading & Writing,Standard English Conventions,"Form, Structure, and Sense",1,0
54976eb3-2d1b-4fe0-a758-499aad64d62f,Reading & Writing,Standard English Conventions,Boundaries,3,1
8a662040-84c1-47ff-8a12-4b0f6a51808d,Reading & Writing,Expression of Ideas,Transitions,3,0
dae7aedc-591e-4058-baf2-bd52f1608561,Math,Geometry and Trigonometry,Circles,3,1
defbfa21-38e5-47ff-a554-a5c896a83d58,Math,Geometry and Trigonometry,Circles,2,0
d638bcde-7d1d-49a9-bc6d-25921dd34d83,Math,Advanced Math,Equivalent expressions,2,1
76a35eff-d204-4d5f-9529-dc72f9a6cdad,Math,Algebra,Linear equations in two variables,1,1
edf301aa-8a95-4f6f-bc3b-7e60d86efeca,Math,Geometry and Trigonometry,"Lines, angles, and triangles",1,0
5748c5e6-3876-4b1d-a79c-98ffc2df4f01,Math,Advanced Math,Equivalent expressions,1,1
7c73a6a6-2682-463c-a491-a8b1706c6605,Math,Problem-Solving and Data Analysis,Evaluating statistical claims: Observational studies and experiments,3,1
9e2c4648-810b-488b-96d6-691820ec14fe,Math,Algebra,Linear inequalities in one or two variables,3,0
ea3f7dd0-4961-4bb2-a04b-81311220add2,Math,Algebra,Linear equations in one variable,2,1
f68f4bdd-f19a-44eb-8304-90f07cbf56ca,Math,Algebra,Systems of two linear equations in two variables,2,1
3bbc7575-e2d2-4579-b41a-0c420a9db765,Math,Advanced Math,Nonlinear equations in one variable and systems of equations in two variables,1,0
50eecf64-ec5b-4f92-a750-e311343f7fd4,Math,Advanced Math,Equivalent expressions,1,1
a43d8b05-c940-4771-9b4a-c96c643dc5b6,Math,Geometry and Trigonometry,Area and volume,1,1
e19efa51-d808-428e-85da-10218c337977,Math,Problem-Solving and Data Analysis,Two-variable data: Models and scatterplots,3,1
95aaed02-aeca-46ca-bd74-d49e88fa5cef,Math,Problem-Solving and Data Analysis,Two-variable data: Models and scatterplots,1,0
033c2e57-8b80-4a8f-a06e-abee4b3a3099,Math,Advanced Math,Nonlinear equations in one variable and systems of equations in two variables,1,1
0136d17d-58ae-4a82-8a94-ea259b1e8fa7,Math,Problem-Solving and Data Analysis,"Ratios, rates, proportional relationships, and units",1,0
48a0cec6-13ff-4dd7-b2ec-fb13ab6ea011,Math,Geometry and Trigonometry,Area and volume,2,0
0a99b297-9dbd-46ab-8799-3ddf82b560ac,Math,Problem-Solving and Data Analysis,"Ratios, rates, proportional relationships, and units",3,0
592b15f4-40f9-4182-98d4-406647735097,Math,Problem-Solving and Data Analysis,"Ratios, rates, proportional relationships, and units",2,0
a4a359c5-eeed-4604-a702-6f3a8d52e75e,Math,Algebra,Linear equations in one variable,3,0
2778966f-3a96-4dac-9989-7880fb9881ea,Math,Geometry and Trigonometry,"Lines, angles, and triangles",1,0
3cd2b9b2-3881-44c2-9327-ad7e42ca47c5,Math,Geometry and Trigonometry,"Lines, angles, and triangles",3,1
086da430-fcc3-492f-bc7a-4b448633701b,Math,Algebra,Linear equations in one variable,3,1
00d105af-71a2-457e-9b8a-07685b658083,Math,Problem-Solving and Data Analysis,Inference from sample statistics and margin of error,3,0
433feab2-72d6-49dc-880f-84b0c0387318,Math,Problem-Solving and Data Analysis,Inference from sample statistics and margin of error,3,1
1b4a46e5-3584-4c30-994f-c0cb39a136e5,Math,Problem-Solving and Data Analysis,One-variable data: Distributions and measures of center and spread,1,0
d862da0c-9894-4500-a18e-6f4bab074a50,Math,Algebra,Linear equations in one variable,1,0
db5c21a9-cf35-4099-bd40-7fd4a6e07386,Math,Problem-Solving and Data Analysis,Inference from sample statistics and margin of error,2,1
c359b60e-4e8e-4f3e-a116-fa64c968bb2c,Math,Advanced Math,Nonlinear equations in one variable and systems of equations in two variables,3,0
32964a7a-a030-44e8-a904-253d21d3d6ed,Math,Problem-Solving and Data Analysis,Probability and conditional probability,1,0
c9872925-f78c-4c90-aa93-bd80aeab56e5,Math,Advanced Math,Equivalent expressions,1,0
9605d736-8cf7-47fe-9cbb-7a5151e79bb8,Math,Geometry and Trigonometry,Circles,2,1
06868720-2332-4e01-b188-4f2342bc60a9,Math,Algebra,Linear functions,1,1
79663d11-74b8-4d74-8186-1c67b1691616,Math,Geometry and Trigonometry,Circles,1,1
23fa283f-b020-457c-af95-f15096eb3a77,Math,Advanced Math,Nonlinear functions,1,0
a7a8639b-21f8-4b6f-b5ee-dc93f999a93b,Math,Advanced Math,Nonlinear functions,2,0
0095ef63-45d1-4e8c-b6f2-751b3b836145,Math,Algebra,Linear inequalities in one or two variables,2,1
b0c3e34a-9de6-4e68-b22d-d1c6ec322f51,Math,Problem-Solving and Data Analysis,Evaluating statistical claims: Observational studies and experiments,3,0
d309f42a-08d0-4754-a471-111f088a7203,Math,Algebra,Linear inequalities in one or two variables,2,1
e587d880-514f-4226-b695-518e6a16ec18,Math,Problem-Solving and Data Analysis,Percentages,1,1
a24311f8-89b9-4200-b8ad-b21bebbdd922,Math,Algebra,Linear equations in two variables,3,1
dcd66ca4-4464-497b-b1fa-ae76dfb4f92a,Math,Problem-Solving and Data Analysis,Inference from sample statistics and margin of error,1,0
013b49a8-e0e3-4cde-8913-5016b184fb62,Math,Algebra,Linear equations in two variables,2,1
